INFO 2026-02-26 21:33:23,824 autoreload Watching for file changes with StatReloader
WARNING 2026-02-26 22:42:43,613 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:42:43,622 log Unauthorized: /api/accounts/
WARNING 2026-02-26 22:42:43,632 log Unauthorized: /api/transactions/
WARNING 2026-02-26 22:42:43,638 log Unauthorized: /api/users/me/
WARNING 2026-02-26 22:42:43,648 log Not Found: /api/admin/
WARNING 2026-02-26 22:42:43,658 log Unauthorized: /api/accounts/
WARNING 2026-02-26 22:42:43,665 log Unauthorized: /api/accounts/
WARNING 2026-02-26 22:42:43,675 log Not Found: /etc/passwd
WARNING 2026-02-26 22:42:43,686 log Not Found: /api/../../../etc/passwd
WARNING 2026-02-26 22:42:43,695 log Not Found: /etc/passwd
WARNING 2026-02-26 22:45:10,404 log Method Not Allowed: /api/auth/login/
WARNING 2026-02-26 22:45:10,411 log Unauthorized: /api/accounts/
WARNING 2026-02-26 22:45:10,418 log Unauthorized: /api/users/
WARNING 2026-02-26 22:45:10,424 log Unauthorized: /api/transactions/
WARNING 2026-02-26 22:45:10,435 log Not Found: /api/admin/
WARNING 2026-02-26 22:45:10,559 log Not Found: /api/schema/swagger-ui/
WARNING 2026-02-26 22:45:10,568 log Not Found: /.env
WARNING 2026-02-26 22:45:10,576 log Not Found: /config.php
WARNING 2026-02-26 22:45:10,586 log Not Found: /wp-admin
WARNING 2026-02-26 22:45:10,595 log Not Found: /phpmyadmin
WARNING 2026-02-26 22:45:10,605 log Not Found: /backup.sql
WARNING 2026-02-26 22:45:10,614 log Not Found: /.git/config
WARNING 2026-02-26 22:45:10,622 log Not Found: /server-status
WARNING 2026-02-26 22:45:10,632 log Not Found: /etc/passwd
WARNING 2026-02-26 22:45:10,643 log Not Found: /api/../../etc/passwd
WARNING 2026-02-26 22:45:10,769 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:10,893 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:11,016 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:11,140 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:11,271 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:11,397 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:11,519 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:11,642 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:11,765 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:11,888 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:12,011 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:12,137 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:12,262 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:12,390 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:12,515 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:12,639 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:12,769 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:12,896 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,024 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,149 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,277 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,413 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,543 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,669 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,794 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,801 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,807 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,831 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,837 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,860 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,868 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,891 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,898 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,921 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,927 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,950 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,956 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,984 log Unauthorized: /api/accounts/
WARNING 2026-02-26 22:45:13,990 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:13,996 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,023 log Unauthorized: /api/accounts/
WARNING 2026-02-26 22:45:14,029 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,036 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,055 log Unauthorized: /api/accounts/
WARNING 2026-02-26 22:45:14,061 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,068 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,092 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,099 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,122 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,130 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,152 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,158 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,185 log Unauthorized: /api/accounts/
WARNING 2026-02-26 22:45:14,190 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,199 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,205 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,213 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,221 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,229 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,236 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,243 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,250 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,259 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,266 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,274 log Bad Request: /api/auth/login/
WARNING 2026-02-26 22:45:14,280 log Unauthorized: /api/accounts/
WARNING 2026-02-26 22:45:14,287 log Unauthorized: /api/transactions/
WARNING 2026-02-26 22:45:14,293 log Unauthorized: /api/users/me/
WARNING 2026-02-26 22:45:14,304 log Not Found: /api/admin/
WARNING 2026-02-26 22:45:14,314 log Unauthorized: /api/accounts/
WARNING 2026-02-26 22:45:14,321 log Unauthorized: /api/accounts/
WARNING 2026-02-26 22:45:14,330 log Not Found: /etc/passwd
WARNING 2026-02-26 22:45:14,341 log Not Found: /api/../../../etc/passwd
WARNING 2026-02-26 22:45:14,350 log Not Found: /etc/passwd
WARNING 2026-02-26 23:55:07,092 log Method Not Allowed: /api/auth/login/
WARNING 2026-02-26 23:55:07,100 log Unauthorized: /api/accounts/
WARNING 2026-02-26 23:55:07,107 log Unauthorized: /api/users/
WARNING 2026-02-26 23:55:07,114 log Unauthorized: /api/transactions/
WARNING 2026-02-26 23:55:07,127 log Not Found: /api/admin/
WARNING 2026-02-26 23:55:07,255 log Not Found: /api/schema/swagger-ui/
WARNING 2026-02-26 23:55:07,270 log Not Found: /.env
WARNING 2026-02-26 23:55:07,285 log Not Found: /config.php
WARNING 2026-02-26 23:55:07,301 log Not Found: /wp-admin
WARNING 2026-02-26 23:55:07,317 log Not Found: /phpmyadmin
WARNING 2026-02-26 23:55:07,328 log Not Found: /backup.sql
WARNING 2026-02-26 23:55:07,343 log Not Found: /.git/config
WARNING 2026-02-26 23:55:07,353 log Not Found: /server-status
WARNING 2026-02-26 23:55:07,362 log Not Found: /etc/passwd
WARNING 2026-02-26 23:55:07,373 log Not Found: /api/../../etc/passwd
WARNING 2026-02-26 23:55:07,508 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:07,636 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:07,765 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:07,896 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:08,035 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:08,169 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:08,305 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:08,440 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:08,586 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:08,716 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:08,845 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:08,992 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:09,140 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:09,274 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:09,406 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:09,539 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:09,667 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:09,795 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:09,927 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,053 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,192 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,319 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,450 log Bad Request: /api/auth/login/
